nombre,resumen,foto,fechanacimiento
Johnny Depp,Johnny Depp es un actor estadounidense conocido por su trabajo en películas como Piratas del Caribe Alicia en el país de las maravillas y Sweeney Todd,https://upload.wikimedia.org/wikipedia/commons/2/21/Johnny_Depp_2020.jpg,5/6/1993
Emma Watson,Emma Watson es una actriz británica conocida por su trabajo en películas como Harry Potter La Bella y la Bestia y Little Women,https://upload.wikimedia.org/wikipedia/commons/7/7f/Emma_Watson_2013.jpg,12/3/1916
Will Smith,Will Smith es un actor estadounidense conocido por su trabajo en películas como Hombres de Negro Soy Leyenda y En busca de la felicidad,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg/640px-TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg,2/27/1971
Scarlett Johansson,Scarlett Johansson es una actriz estadounidense conocida por su trabajo en películas como Los Vengadores Jojo Rabbit y La isla,https://www.themoviedb.org/t/p/w500/6bBCPmc55gzP7TR9Th4WbykrYd0.jpg,12/15/1905
Robert Downey Jr.,Robert Downey Jr. es un actor estadounidense conocido por su trabajo en películas como Iron Man Sherlock Holmes y Chaplin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Robert_Downey_Jr_avp_Iron_Man_3_Paris.jpg,2/7/1985
Natalie Portman,Natalie Portman es una actriz israelí-estadounidense conocida por su trabajo en películas como Cisne Negro V de Vendetta y Thor,https://flxt.tmsimg.com/assets/71364_v9_bb.jpg,4/1/1979
Dwayne Johnson,"Dwayne Johnson también conocido como ""The Rock"" es un actor y luchador profesional estadounidense conocido por su trabajo en películas como Jumanji Rápidos y Furiosos y Baywatch",https://i.pinimg.com/564x/fc/e2/74/fce2740d6f3fe82e8d934d1d67169a4b.jpg,12/22/1966
Anne Hathaway,Anne Hathaway es una actriz estadounidense conocida por su trabajo en películas como El diablo viste de Prada Los Miserables y El caballero oscuro,https://m.media-amazon.com/images/M/MV5BMTRhNzQ3NGMtZmQ1Mi00ZTViLTk3OTgtOTk0YzE2YTgwMmFjXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg,11/14/1954
Chris Hemsworth,Chris Hemsworth es un actor australiano conocido por su trabajo en películas como ThorExtraction y Rush,https://upload.wikimedia.org/wikipedia/commons/e/e8/Chris_Hemsworth_by_Gage_Skidmore_2_%28cropped%29.jpg,2/16/1910
Margot Robbie,Margot Robbie es una actriz australiana conocida por su trabajo en películas como El lobo de Wall Street Yo Tonya y Aves de Presa,https://imagez.tmz.com/image/0b/1by1/2022/11/14/0b810a0c3da441f69af92bd8a4b8fd4e_xl.jpg,11/15/1974
